254,50000890,3537,
255,50001903,1150,
256,50002303,1045,
257,50000679,1220,
258,50002980,3684,
259,50003113,1074,
260,50000732,3371,
261,50000654,986,
262,50001525,2577,
263,50000049,3688,
264,50002466,2262,
265,50002256,3716,
266,50003385,2805,
267,50002045,3820,
268,50001142,6699,
269,50000396,2804,
270,50002165,3697,
271,50001970,1031,
272,50002500,1020,
273,50001462,1034,
274,50000930,3696,
275,50003402,,
276,50001872,472,
277,50000120,1108,
278,50001888,1244,
279,50001060,1533,
280,50001118,714,
281,50000694,940,
282,50000630,16795,
283,50002002,1084,
284,50000462,150,
285,50000465,621,
286,50000964,897,
287,50002357,331,
288,50003258,1049,
289,50001417,2448,
290,50002610,681,
291,50003262,367,
292,50001900,3368,
293,50001393,3709,
294,50000837,993,
295,50000629,1531,
296,50000156,3302,
297,50003261,366,
298,50002016,237,
299,50003415,142,
300,50002126,13222,
301,50001570,5358,
302,50000128,11596,
303,50001422,5648,
304,50001966,11000,
306,50002307,2296,
307,50000633,,
309,50002367,2497,
310,50000644,2687,
311,50003058,648,
312,50001424,12321,
313,50002474,4032,
316,50000121,1532,
317,,11422,
319,50002735,630,
320,,2464,
324,50001537,7971,
327,50003260,76,
328,50000043,5619,
329,50002318,1058,
330,50001527,2761,
331,50003128,1293,
332,50000483,501,
333,50002137,687,
334,50002865,2038,
335,50003316,239,
336,50000518,1100,
337,50002992,2817,
338,50002971,1274,
339,50001914,353,
340,50002750,10217,
341,50002976,,
342,50002725,6399,
343,50002130,11338,
344,50001836,21101,
349,50289780,3840,
366,50001431,1435,
367,50001238,234,
368,50002644,192,
369,50003330,499,
370,50001536,1304,
371,50002939,468,
372,50001464,202,
373,50001530,306,
374,50001141,798,
375,50003150,317,
376,50003243,200,
377,50000948,1268,
378,50000039,1090,
379,50002198,467,
380,50003431,1269,
381,50003371,403,
382,50000655,133,
383,50000940,642,
384,50001004,1455,
385,50002197,132,
386,50002561,235,
387,50001267,385,
388,50001984,384,
389,50003056,1434,
391,50002361,1228,
392,50001720,9715,
393,50000155,723,
394,50001157,3892,
395,50001534,500,
396,50000947,404,
397,50001074,1283,
398,50003336,724,
399,50001722,17596,
400,50001719,8817,
401,50003297,1426,
404,50240302,,
406,50001613,8042,
407,50240303,3189,
408,50003254,1102,
409,50002639,,
410,50001578,6017,
411,50001838,6251,
412,50001498,1008,
413,50001862,2925,
416,50001708,3650,
417,50001561,5411,
419,50307552,23564,
423,50312808,22890,
424,50001504,1225,
425,50240301,7008,
426,50267914,7315,
432,50000645,1162,
433,50000496,40,
434,50002962,618,
435,50002160,969,
436,50001487,855,
437,50000403,595,
438,50002083,347,
439,50003109,415,
440,50002209,995,
441,50001912,1082,
442,50002620,273,
443,50002057,244,
444,50000179,1420,
445,50002259,417,
446,50000988,2969,
447,50002208,1159,
448,50001957,1158,
449,50001895,826,
451,50002619,1421,
452,50000006,1147,
453,50003259,1423,
454,50002864,750,
455,50000647,1390,
456,50000012,416,
457,50000899,4083,
458,50002448,,
459,50001075,749,
460,50001353,252,
461,50000008,5,
462,50002390,458,
463,50001877,398,
464,50000252,800,
465,50002711,1038,
466,50003181,410,
467,50000489,1025,
468,50000742,,
469,50002752,6574,
470,50001610,46,
471,50001245,430,
472,50000682,,
473,50003301,276,
474,50001314,8970,
475,50000704,1429,
476,50002421,130,
477,50000688,,
478,50001939,,
479,50000326,290,
480,50002989,667,
481,50000169,1416,
482,50002281,1161,
484,50002356,10868,
485,50002616,1154,
486,50003129,1095,
487,50001876,1080,
488,50002339,1160,
490,50000778,3524,
491,50000572,3911,
492,50003110,,
493,50001878,738,
494,50002419,10004,
495,50000892,,
497,50000719,1175,
498,50003308,2655,
499,50000329,2231,
501,50000448,,
502,50002447,,
503,50003060,1103,
505,50000571,19,
506,50002304,,
507,50002460,4172,
508,50000777,4084,
509,50000244,,
510,50002706,380,
512,50002684,,
513,50002945,3522,
514,50003326,,
515,50003115,,
517,50239608,1385,
518,50239611,1047,
519,50003274,,
520,50001735,5587,
522,50002617,,
524,50001466,,
525,50000004,157,
526,50003344,28643,
527,50002975,3057,
529,50000711,172,
530,50001135,1245,
531,50002346,3508,
532,50002840,475,
533,50001352,1184,
534,50003363,968,
535,50003428,2861,
536,50001762,601,
537,50001763,354,
539,50001014,129,
540,50000482,80,
541,50003196,89,
542,50001766,2,
543,50000464,10,
544,50001461,65,
545,50001027,38,
547,50001772,48,
548,50002968,35,
549,50003384,1557,
550,50002726,254,
551,50000293,94,
552,50001532,2036,
554,50001215,293,
556,50002533,91,
557,50003356,108,
558,50001995,187,
560,50001216,,
561,50002950,668,
562,50002360,81,
563,50001680,109,
566,50001551,269,
567,50002657,30,
571,50001508,440,
572,50000883,25,
574,50002995,,
576,50003219,66,
577,50002626,,
579,50000324,14,
580,50002969,,
581,50003376,4441,
582,50002993,122,
583,50002581,170,
584,50002630,,
595,50001853,413,
600,50002442,970,
601,50000054,875,
602,50002068,25580,
603,50000697,6954,
604,50000575,7831,
605,50002253,5551,
606,50003027,8054,
607,50002069,7006,
608,50003364,36100,
609,50003359,8445,
610,50003331,2125,
611,50002739,221,
612,50001246,614,
613,50000903,609,
614,50002948,8718,
615,50000502,537,
616,50001456,210,
617,50001254,2462,
618,50002746,585,
619,50002396,1023,
620,50000276,330,
621,50000327,,
622,50000253,679,
